tree_id,username,label,1,2,3,4,5,6,7,8,9
5vmwbr,chip_0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5vmwbr,colormegray,,3.769543775456531e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5vmwbr,cdb03b,,6.230076910846251e-08,2.267640233277916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5vmwbr,stevegcook,,-8.498504668958e-08,-2.51009941586846e-07,2.8609948153776484e-05,0.0,0.0,0.0,0.0,0.0,0.0
5vmwbr,McKoijion,,-2.123816224843394e-06,3.9251190633647766e-06,5.475733878941261e-06,4.27264352375486e-05,0.0,0.0,0.0,0.0,0.0
5vmwbr,cacheflow,,2.8457252456052364e-07,1.38564890417034e-07,1.209605893536815e-07,-1.8617080644119372e-06,1.9318391456910155e-05,0.0,0.0,0.0,0.0
5vmwbr,NotGuyFawkes,,-1.6334329195647572e-08,-2.3510792886426358e-07,-2.781150581755157e-07,3.2653050353071143e-06,5.038315046206776e-07,2.393799543299656e-05,0.0,0.0,0.0
5vmwbr,elementop,,-5.3188180841002434e-08,-1.2158087498149265e-07,-1.221402762153003e-07,1.8711975864452847e-06,2.6982619823934827e-07,-4.180381461124781e-07,3.020707407084245e-05,0.0,0.0
5vmwbr,ubbergoat,,2.0565762797412246e-07,-4.14735067035084e-08,-7.647397691421517e-08,5.863729492363826e-07,1.9971310973175426e-07,-1.6357913588935595e-07,-7.281651480804992e-08,3.2127515194516246e-05,0.0
5vmwbr,ChargeTheCharger,,1.021979424916217e-06,6.467487618966778e-07,6.401469860303282e-07,-9.232881391872123e-06,-8.916833175059652e-07,2.0536022473463106e-06,9.067111541808556e-07,5.430699446644346e-07,3.925228345460454e-05
