tree_id,username,label,1,2,3,4,5,6,7,8,9,10
63vzle,thikthird,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63vzle,PizzaPTY,,8.44703863592774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63vzle,Ajreil,,-2.251072493416743e-05,0.00012909395055704336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63vzle,Ardonpitt,,-1.1856922633300391e-06,-3.2136330830006216e-06,4.3835485718300016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63vzle,-AragornElessar-,,-1.4188092481954886e-05,-2.8665247237087347e-05,-9.53907185533598e-06,0.00011685479967238452,0.0,0.0,0.0,0.0,0.0,0.0
63vzle,Dembara,,-4.643095218590234e-06,-7.298573217165938e-06,-1.3731256417524844e-06,-6.640796321262729e-06,4.871869648740983e-05,0.0,0.0,0.0,0.0,0.0
63vzle,Leumashy,,-1.4188095110622925e-05,-2.8665249817122322e-05,-9.539076920743636e-06,-3.0074467931437566e-05,-2.0027787916993108e-05,0.00011112811480781961,0.0,0.0,0.0,0.0
63vzle,QuantumDischarge,,4.079136834347665e-06,-1.6914223383899175e-05,-7.448127294771104e-06,-1.214669013789111e-05,-2.96106134916806e-06,-1.659353315360502e-05,0.00014525306952332468,0.0,0.0,0.0
63vzle,rab42701,,8.231906603489814e-06,4.124605591857801e-06,-2.7612626190910287e-06,9.77751356073034e-07,1.0298223028333742e-05,3.1487150450907162e-06,2.464794751033148e-05,7.955472068604306e-05,0.0,0.0
63vzle,Havenkeld,,-1.1965223756536658e-05,-2.2799325300492154e-05,-7.076359298032291e-06,-2.337158148182006e-05,-1.6551803566420278e-05,-3.388400707186983e-05,-1.336357418028551e-05,1.1965647718063377e-05,9.19607938391572e-05,0.0
63vzle,yusayu,,4.0791407773497234e-06,-1.69142208038642e-05,-7.448119696659622e-06,-1.214668728762815e-05,-2.9610567914803354e-06,-1.659352715931801e-05,-5.121171347640053e-06,4.658952322477997e-05,-2.791418370691249e-05,0.0001346196254110837
